twitt,emocion,porcentaje,figura,fecha
"@aguadiana #LlegaMorenaLlegaElNarco
Ni un voto a morena",others,0.6372032165527344,aguadiana,2023-04-04 15:24:19+00:00
@aguadiana No sea califa #DonCorru,others,0.8396739363670349,aguadiana,2023-04-04 14:55:25+00:00
@aguadiana ¿No invitaste a tus amigas panistas? https://t.co/bjvwl9RQda,others,0.9215039610862732,aguadiana,2023-04-04 06:33:22+00:00
@aguadiana Por el bien de todos #DeclinaGuadaña https://t.co/8xWtXyMzX3,others,0.8840895891189575,aguadiana,2023-04-04 02:19:45+00:00
"@aguadiana @Euge1564 Todos los votos por MoReNa, nada de titubeos. Porque el PRI está herido, pero no muerto aún.",others,0.6387702226638794,aguadiana,2023-04-04 00:53:43+00:00
"@aguadiana @Raulortegamora === una Imagen grotesca, en verdad @mario_delgado la misma jalada que hiciste en Nuevo Leon !¡  y ahí sigues...mamando rico del erario ?? El pueblo te está mirando, y créeme cada día te queremos más, pero Más lejos de Morena.",joy,0.7610015869140625,aguadiana,2023-04-13 07:58:23+00:00
"@aguadiana Adelante el fin de el moreirato esta cerca, un esfuerzo mas, va por todoss los coahuilenses,  animo..",joy,0.6630173921585083,aguadiana,2023-04-06 18:42:32+00:00
@aguadiana Puro chapulín,others,0.5382632613182068,aguadiana,2023-04-06 15:09:38+00:00
@aguadiana JAJAJAJA ALA MADRE CHULA PELICULA DE COMEDIA,anger,0.6882196664810181,aguadiana,2023-04-05 21:58:52+00:00
@aguadiana A ver a ver como esta esto https://t.co/Nu2hdjQIPW,others,0.9063894152641296,aguadiana,2023-04-05 07:03:05+00:00
"@aguadiana Cómo se puede dar un cambio verdadero, si es el mismo empresario minero, priísta, y traficante de influencias que tanto han dañado al país.",anger,0.5021780133247375,aguadiana,2023-04-04 23:12:49+00:00
"@aguadiana Pero no le gusta la crítica hacia sus políticas, de senador nada gestiono para los Coahuilenses, ninguna iniciativa de ley, 

Solo busco beneficiar los negocios del gas y carbón que tiene en #Coahuila 

En #Facebook borran los comentarios que no le gustan leer.A ver si no bloquea",anger,0.6328039765357971,aguadiana,2023-04-04 19:57:57+00:00
@aguadiana Jalando duro pinche viejo b https://t.co/J4avj3tWbh,others,0.7996524572372437,aguadiana,2023-04-04 19:17:25+00:00
@aguadiana Son unos 🐀 🐀 🐀 🐀 🐀 https://t.co/hFQcClQooM,others,0.8668042421340942,aguadiana,2023-04-04 17:41:57+00:00
"@emevela14 @aguadiana La bronca es que para @mario_delgado sí te atreves a disentir eres un traidor, igual para @CitlaHM

Dejaron pasar lo de Felipe Calderón y Guadiana en Puebla hasta invitan al PANISTA ultra corrupto Tony Gali.

Están cañones.",anger,0.7971064448356628,emevela14,2023-04-04 17:39:24+00:00
"@FitzgeraldQuim @aguadiana No todos los candidatos de Morena son buenos para los ciudadanos y este es un claro ejemplo:

 ""Por tener una amistad con... ya se siente comprometido a...""

Desafortunadamente en la oposición tampoco hay buenos.

Toca escoger al menos peor.",others,0.6006224751472473,FitzgeraldQuim,2023-04-04 17:32:27+00:00
"@aguadiana Ojalá no voten por morena, bola de zánganos ignorantes",anger,0.779796302318573,aguadiana,2023-04-04 17:05:33+00:00
"@aguadiana El que solo roba poquito?🤣🤣🤣🤣🤣🤣
No tienen vergüenza",anger,0.7129903435707092,aguadiana,2023-04-04 16:38:36+00:00
@aguadiana El cambio https://t.co/pWIHksA0sm,others,0.9236350655555725,aguadiana,2023-04-04 16:28:51+00:00
"@aguadiana Jajajajajaja no mamn jajajaja, jálame ésta ✍️✍️✍️",others,0.5864238142967224,aguadiana,2023-04-04 12:22:51+00:00
@aguadiana Ja ja ja ja ja ja ja ¿lo dice el rey de huachicol carbonero? ¿Lo dice quien recibió la candidatura a cambio de favores a políticos y al mismo presidente? No pues qué gran cambio!!!,others,0.5782263278961182,aguadiana,2023-04-04 09:05:59+00:00
@aguadiana Jalen juntos pero al botellón,others,0.8462162017822266,aguadiana,2023-04-04 06:27:22+00:00
@Polemista4T @aguadiana Par de corruptazos.,anger,0.6955888271331787,Polemista4T,2023-04-04 05:12:51+00:00
@aguadiana Jajajaja Jajajaja Jajajaja Jajajaja Jajajaja Jajajaja chairos jodidos y animalitos mascotas de Lopez Obrador,anger,0.6728132367134094,aguadiana,2023-04-04 03:59:01+00:00
"@aguadiana NO!... a ver cuantos acarreados juntan!

amenacen digan que quitaran las pensiones ayudas... o paguen pa que vayan el.pueblo huevon",anger,0.8093063235282898,aguadiana,2023-04-04 03:53:05+00:00
"@aguadiana Vas a perder, tu obsesión con el poder van a hacer que ganen los mismos de siempre",others,0.43618541955947876,aguadiana,2023-04-04 02:27:00+00:00
@aguadiana Hasta a los bots de Mario Delgado les da pena darle like.,sadness,0.5503764748573303,aguadiana,2023-04-04 02:06:29+00:00
@aguadiana NO NO Y NO ya te equivocaste Mario Delgado. y creo que ya no tienes manera de hecharte para atrás.,others,0.399294376373291,aguadiana,2023-04-04 01:58:15+00:00
@aguadiana @balles72 Par de rateros y feos,anger,0.7448463439941406,aguadiana,2023-04-04 01:09:37+00:00
@aguadiana @nach0visi0n Par de corruptos son la desepcion de morena 🤮🤮🤮🤮🤮🤮🤮🤮,anger,0.6141186356544495,aguadiana,2023-04-04 00:40:49+00:00
"@aguadiana Vas a perder, ranchero chido.",others,0.6780742406845093,aguadiana,2023-04-03 23:52:28+00:00
@aguadiana Jálame esta. Pedazo de estiércol.,others,0.48470190167427063,aguadiana,2023-04-03 23:47:59+00:00
@Polemista4T @aguadiana El que impone candidaturas.,others,0.8989467620849609,Polemista4T,2023-04-03 23:26:42+00:00
@aguadiana Ya perdiste,others,0.5911768078804016,aguadiana,2023-04-03 23:06:02+00:00
@aguadiana La imagen viva de la CORRUPCION. Mándalo ALV #MORENAESUNAMIERDA,anger,0.762283205986023,aguadiana,2023-04-03 23:03:29+00:00
"@aguadiana ¿Quien mas asistirá? ¿Montreal, Galvez, Rabanan?",others,0.9155815839767456,aguadiana,2023-04-03 22:49:48+00:00
@aguadiana Uy qué emoción. Va a ir Delgado el de las encuestas cuchareadas.,joy,0.4616759121417999,aguadiana,2023-04-03 22:46:22+00:00
"@aguadiana Piénsalo 

Guadiana y Mejía 

La división favorece a los corruptos prianistas 
Mejía y Guadiana deben negociar y unirse por el bien de Coahuila y asegurar el triunfo 
De lo contrario quedarán 
SIN JUAN 
Y SIN LAS GALLINAS",others,0.7036851644515991,aguadiana,2023-04-03 22:40:29+00:00
@aguadiana LO PEOR DEL PRI LO REPRESENTA ESTE ENTE ....CREERLE ES IMPOSIBLE,others,0.41770514845848083,aguadiana,2023-04-04 15:31:28+00:00
"@aguadiana El CO  es su prioridad!!!
Hay ustedes saben?
Después no anden de chillones. https://t.co/d0iQzb87Jf",others,0.8405667543411255,aguadiana,2023-04-04 15:26:42+00:00
@aguadiana Jajajaja si claro,others,0.7899158596992493,aguadiana,2023-04-04 14:36:08+00:00
"@aguadiana Cambio verdadero
🤣🤣🤣🤣🤣🤣
Representas lo más corrupto y nefasto del PRI en #Coahuila

¿Ya rescataron a los mineros?
¿Ya le exigiste a Cresencio Sandoval que aclare lo de #Allende ?

#EnCoahuilaMorenaNo https://t.co/ONDyj1un2I",anger,0.5874493718147278,aguadiana,2023-04-04 13:48:36+00:00
@aguadiana Exceso de publicidad; P O C O.  C A N D I D A T O.,others,0.8745460510253906,aguadiana,2023-04-04 04:04:22+00:00
"@aguadiana Muy poca gente. caray. Hagan comunión con el PT para lograr ganar ampliamente. 
Se unió PRI-PAN que eran como el agua y el aceite. 
Que no podrá MORENA Y PT lograr una reconciliación. 
COAHUILA TENEMOS QUE GANARLO PARA BIEN DE NUESTRO PRESIDENTE.",anger,0.6315158009529114,aguadiana,2023-04-04 01:56:43+00:00
"@aguadiana @nach0visi0n Cuál cambio eres priísta rata y corrupto, simplemente más de lo mismo 🐭",anger,0.7667047381401062,aguadiana,2023-04-04 00:45:42+00:00
@aguadiana @nach0visi0n @FormulaTorreon Nunca llegarás a gobernar te conocen corrupto y tranza🐭,anger,0.4964962601661682,aguadiana,2023-04-04 00:47:41+00:00
@aguadiana Todo Coahuila está con Ricardo Mejia y no con un corrupto como Guadiana,anger,0.5154979825019836,aguadiana,2023-04-05 02:16:02+00:00
@aguadiana Nadie ya le cree a este dinosaurio. Vamos con todo con Ricardo Mejia,others,0.7198092341423035,aguadiana,2023-04-05 02:15:30+00:00
@aguadiana Mejia si nos dará el cambio que necesitamos,others,0.8867108225822449,aguadiana,2023-04-05 00:33:50+00:00
@aguadiana No hay mejor candidato que Ricardo Mejia,others,0.8041568994522095,aguadiana,2023-04-05 00:33:14+00:00
@aguadiana La verdad es que Mejia es el mejor,others,0.5266764163970947,aguadiana,2023-04-05 00:32:40+00:00
@aguadiana Ricardo Mejía Berdeja candidato del PT va fuerte y sin perder el piso.,others,0.9031023383140564,aguadiana,2023-04-05 00:26:24+00:00
@aguadiana Ricardo Mejía Berdeja candidato del PT sigue subiendo,others,0.9116178154945374,aguadiana,2023-04-05 00:24:55+00:00
@aguadiana Ricardo Mejía Berdeja sigue avanzando,others,0.9089957475662231,aguadiana,2023-04-05 00:09:20+00:00
"@aguadiana Eres el Judas en Coahuila y el mejor es Mejia Bermeja, vas a perder otra vez por estar coludido con el INEPTO y corrupto de Mario Delgado",anger,0.4731496274471283,aguadiana,2023-04-04 14:29:48+00:00
@aguadiana Yo le doy mi voto a cambio de unos boletucos para el súper bowl padre,others,0.8311812877655029,aguadiana,2023-04-04 13:13:10+00:00
@aguadiana Saludos Don Corruptón,others,0.4744388163089752,aguadiana,2023-04-04 12:28:25+00:00
@aguadiana Jajajajaja no mamn jajajajajajaja. Eres un corrupto ✍️✍️✍️,anger,0.7531972527503967,aguadiana,2023-04-04 12:23:30+00:00
@aguadiana Mejía también está casi al par que tú,others,0.8823056221008301,aguadiana,2023-04-04 04:35:34+00:00
@aguadiana Honestamente mi voto no es para este corrupto,anger,0.6835973262786865,aguadiana,2023-04-04 04:34:20+00:00
@aguadiana Ricardo Mejía será el próximo gobernador,others,0.8846499919891357,aguadiana,2023-04-04 04:32:41+00:00
@aguadiana Vaya pues esperemos que no gane no lo queremos en el estado,others,0.6662731766700745,aguadiana,2023-04-03 23:48:07+00:00
@aguadiana Don canguro,others,0.8965842127799988,aguadiana,2023-04-06 00:07:58+00:00
@aguadiana El cambio https://t.co/qX6OreFnCW,others,0.9267788529396057,aguadiana,2023-04-05 02:37:10+00:00
@aguadiana El cambio https://t.co/mNXSDlGinx,others,0.9260792136192322,aguadiana,2023-04-04 22:56:15+00:00
@aguadiana Para cuando te estas alineando con @RicardoMeb ? Porque no te va a quedar de otra..... jajaja,others,0.8151537775993347,aguadiana,2023-04-04 21:29:52+00:00
@aguadiana gordito cochino te usaron. el deal tu entregas el estado (nunca ibas a ganar) la peor ficha y apoyo pagaste con carbon lo que mario no gasto y toman edomex. tu no pintas sigue contaminando con carbón no te van a decir nada,anger,0.7201527953147888,aguadiana,2023-04-04 06:50:46+00:00
@aguadiana Recorre mercados por que ahí no batalla con la gente a otros lados no van.,others,0.8416390419006348,aguadiana,2023-04-04 02:57:58+00:00
@aguadiana Vas a perder buey 🐂 por corrupto y OGT,others,0.3432953357696533,aguadiana,2023-04-04 02:47:09+00:00
@aguadiana Edo. De Mx. Para la maestra; Coahuila de Zaragoza para Manolo.,others,0.9222613573074341,aguadiana,2023-04-04 02:37:22+00:00
"@aguadiana Y ¿qué crees que nos diga a los Coahuilenses esta imagen?
Por el bien de todos #DeclinaGuadaña https://t.co/A6To7rbQeP",others,0.8922673463821411,aguadiana,2023-04-04 02:25:46+00:00
"@MartnJosRodrgu4 @aguadiana No lo han alineado desde el 2018, ¿crees que lo van alinear ahorita? Chango viejo no aprende maroma nueva, el cacique jamás voto alguna iniciativa del Presidente siendo Senador, imagine lo que haria como Gobernador, por eso a este ANTIAMLO no lo apoyamos https://t.co/YXP4rTG7Ci",others,0.6580623388290405,MartnJosRodrgu4,2023-04-05 20:37:59+00:00
"@coahuilensepol @aguadiana Que bueno que sacas el vídeo, pero hay que leer bien, se tiene que alinear con Morena, sino la voladora "" y todo aquel que llegue",others,0.849337637424469,coahuilensepol,2023-04-05 20:18:52+00:00
@MartnJosRodrgu4 @aguadiana Que buen candidato para alinear a la oposición 🙄 https://t.co/wrY7varhSC,others,0.8975704312324524,MartnJosRodrgu4,2023-04-05 19:46:57+00:00
@MartnJosRodrgu4 @aguadiana En dicha entrevista mencionó que seguirá con la buena política de Riquelme 🤣🤣🤣 que bonito candidato tiene el PRI vestido de MORENA https://t.co/JUXGaqoir8,joy,0.624789834022522,MartnJosRodrgu4,2023-04-05 19:46:09+00:00
"@MartnJosRodrgu4 @aguadiana Lo único que reconozco es que Guadiana es mas del mismo PRI de siempre, el PT no va tan abajo en las encuestas.
Mario Delgado vendió Coah como muchos otros edos. Guadiana no representa los principios de MORENA, mejor que arregle sus múltiples investigaciones antes de pedir votos",others,0.6721161603927612,MartnJosRodrgu4,2023-04-05 19:36:33+00:00
"@coahuilensepol @aguadiana Bueno primeramente estás reconociendo que la mafia del prian son corruptos y asesinos, el pt se me hace buena opción pero vienen muy abajo en las encuestas y por otro lado el Sr Armando de los princip  de morena algo debe tener y además alinear, pero corrup y asesinos prian no",anger,0.7408230304718018,coahuilensepol,2023-04-05 19:28:31+00:00
@aguadiana Eso #DonCorru acérquese a la gente!!!!,others,0.6669893264770508,aguadiana,2023-04-04 14:38:32+00:00
@aguadiana Cuanta hipócresía.,anger,0.6477490663528442,aguadiana,2023-04-04 08:01:43+00:00
@aguadiana ¿Por eso te juntas con tantas panistas? https://t.co/jjltsdcVIb,others,0.890999436378479,aguadiana,2023-04-04 06:31:00+00:00
"@aguadiana Buenas noches Sr Armando, hay que seguir con los programas sociales de la 4t, ni un voto para esos ladrones, corruptos y asesinos del prian, ojalá y no los suelten, ánimo, adelante con la 4 t",anger,0.6478997468948364,aguadiana,2023-04-04 03:02:08+00:00
"@MartnJosRodrgu4 @aguadiana Para ser coherentes obviamente incluimos a Guadaña, ¿verdad? https://t.co/XwGznNNw5j",others,0.9179824590682983,MartnJosRodrgu4,2023-04-04 03:01:01+00:00
"@coahuilensepol @aguadiana Igual han sufrido las mujeres durante los sexenios de la bola de corruptos y narcos del prian, ni un voto más para esos asesinos y corruptos del prian",anger,0.6462142467498779,coahuilensepol,2023-04-04 02:59:35+00:00
"@aguadiana También las mujeres (madres, esposas, hijas) son las que lloran a sus muertos en las minas por la nula seguridad que les proporcionas, por lo bien que los explotas a cambio de prestaciones miserables, como tú #DeclinaGuadaña",sadness,0.9324813485145569,aguadiana,2023-04-04 02:17:55+00:00
@aguadiana Cual es su proyecto? ¿Qué propuestas de trabajo tiene?,others,0.9161866903305054,aguadiana,2023-04-04 02:11:27+00:00
@aguadiana Nunca habían ido y ahora muy fregones,anger,0.5133241415023804,aguadiana,2023-04-05 00:15:26+00:00
@aguadiana Con el PT !!!,others,0.7287089228630066,aguadiana,2023-04-04 17:08:07+00:00
"@aguadiana Y este taquero?? Que?? 

Se le olvidó la barbacoa",anger,0.4567348062992096,aguadiana,2023-04-04 16:11:01+00:00
@aguadiana Solo te falta la cola de ratón!!,others,0.7662385702133179,aguadiana,2023-04-04 15:54:16+00:00
@TERESAG06520836 @aguadiana @LaTiaVinagres Ya somos dos!!,others,0.7847633957862854,TERESAG06520836,2023-04-04 15:29:49+00:00
@aguadiana Lo veo y me quiero vomitar!!,others,0.23104897141456604,aguadiana,2023-04-04 15:29:26+00:00
@aguadiana Ya cállate corruptazo.,anger,0.7570145130157471,aguadiana,2023-04-04 06:13:32+00:00
"@aguadiana Bigotes, no soy mal hora; pero no vas a dar el kilo.",others,0.70583575963974,aguadiana,2023-04-04 04:03:08+00:00
"@aguadiana Aguas , no se les vaya a desmayar.
..agarrenlo bien!",anger,0.47187894582748413,aguadiana,2023-04-05 20:26:29+00:00
@aguadiana Vaya apoyos https://t.co/FAHAVPQdpI,others,0.88462233543396,aguadiana,2023-04-04 22:48:53+00:00
@Miriam_Junne @aguadiana Pragmatismo le dicen ahora al chapulíneo,others,0.9193142056465149,Miriam_Junne,2023-04-04 21:14:56+00:00
@Miriam_Junne @aguadiana Vergonzoso 🤦🏻‍♂️,anger,0.7427479028701782,Miriam_Junne,2023-04-04 19:08:28+00:00
"@aguadiana Jajajajaja no mamn jajajajajajaja, a poco les dijiste que les vas a meter la pinga 🤣🤣🤣",anger,0.3915623128414154,aguadiana,2023-04-04 18:43:51+00:00
"@aguadiana Si gana morena,.es por zoquetes la sociedad, se les dice que no se equivoquen, morena es sinónimo de corrupción, muertes, ignorancia, entre otras",others,0.4753026068210602,aguadiana,2023-04-04 18:33:50+00:00
@aguadiana Les queda grande la transformación!! Son unos enanos enfermos de poder!!,anger,0.3374764621257782,aguadiana,2023-04-04 17:32:21+00:00
"@aguadiana Y a las que no voten por tí
¿Les meterás la Pinga?

Ningún coahuilense que tenga memoria tendría que votar por tí, representas lo más corrupto del PRI https://t.co/NnwnYJuXZW",anger,0.7060176730155945,aguadiana,2023-04-04 16:11:25+00:00
"@aguadiana #LlegaMorenaLlegaElNarco
Ni un voto a morena",others,0.6372032165527344,aguadiana,2023-04-04 15:24:19+00:00
@aguadiana No sea califa #DonCorru,others,0.8396739363670349,aguadiana,2023-04-04 14:55:25+00:00
@aguadiana ¿No invitaste a tus amigas panistas? https://t.co/bjvwl9RQda,others,0.9215039610862732,aguadiana,2023-04-04 06:33:22+00:00
@aguadiana Por el bien de todos #DeclinaGuadaña https://t.co/8xWtXyMzX3,others,0.8840895891189575,aguadiana,2023-04-04 02:19:45+00:00
"@aguadiana @Euge1564 Todos los votos por MoReNa, nada de titubeos. Porque el PRI está herido, pero no muerto aún.",others,0.6387702226638794,aguadiana,2023-04-04 00:53:43+00:00
"@aguadiana @Raulortegamora === una Imagen grotesca, en verdad @mario_delgado la misma jalada que hiciste en Nuevo Leon !¡  y ahí sigues...mamando rico del erario ?? El pueblo te está mirando, y créeme cada día te queremos más, pero Más lejos de Morena.",joy,0.7610015869140625,aguadiana,2023-04-13 07:58:23+00:00
"@aguadiana Adelante el fin de el moreirato esta cerca, un esfuerzo mas, va por todoss los coahuilenses,  animo..",joy,0.6630173921585083,aguadiana,2023-04-06 18:42:32+00:00
@aguadiana Puro chapulín,others,0.5382632613182068,aguadiana,2023-04-06 15:09:38+00:00
@aguadiana JAJAJAJA ALA MADRE CHULA PELICULA DE COMEDIA,anger,0.6882196664810181,aguadiana,2023-04-05 21:58:52+00:00
@aguadiana A ver a ver como esta esto https://t.co/Nu2hdjQIPW,others,0.9063894152641296,aguadiana,2023-04-05 07:03:05+00:00
"@aguadiana Cómo se puede dar un cambio verdadero, si es el mismo empresario minero, priísta, y traficante de influencias que tanto han dañado al país.",anger,0.5021780133247375,aguadiana,2023-04-04 23:12:49+00:00
"@aguadiana Pero no le gusta la crítica hacia sus políticas, de senador nada gestiono para los Coahuilenses, ninguna iniciativa de ley, 

Solo busco beneficiar los negocios del gas y carbón que tiene en #Coahuila 

En #Facebook borran los comentarios que no le gustan leer.A ver si no bloquea",anger,0.6328039765357971,aguadiana,2023-04-04 19:57:57+00:00
@aguadiana Jalando duro pinche viejo b https://t.co/J4avj3tWbh,others,0.7996524572372437,aguadiana,2023-04-04 19:17:25+00:00
@aguadiana Son unos 🐀 🐀 🐀 🐀 🐀 https://t.co/hFQcClQooM,others,0.8668042421340942,aguadiana,2023-04-04 17:41:57+00:00
"@emevela14 @aguadiana La bronca es que para @mario_delgado sí te atreves a disentir eres un traidor, igual para @CitlaHM

Dejaron pasar lo de Felipe Calderón y Guadiana en Puebla hasta invitan al PANISTA ultra corrupto Tony Gali.

Están cañones.",anger,0.7971064448356628,emevela14,2023-04-04 17:39:24+00:00
"@FitzgeraldQuim @aguadiana No todos los candidatos de Morena son buenos para los ciudadanos y este es un claro ejemplo:

 ""Por tener una amistad con... ya se siente comprometido a...""

Desafortunadamente en la oposición tampoco hay buenos.

Toca escoger al menos peor.",others,0.6006224751472473,FitzgeraldQuim,2023-04-04 17:32:27+00:00
"@aguadiana Ojalá no voten por morena, bola de zánganos ignorantes",anger,0.779796302318573,aguadiana,2023-04-04 17:05:33+00:00
"@aguadiana El que solo roba poquito?🤣🤣🤣🤣🤣🤣
No tienen vergüenza",anger,0.7129903435707092,aguadiana,2023-04-04 16:38:36+00:00
@aguadiana El cambio https://t.co/pWIHksA0sm,others,0.9236350655555725,aguadiana,2023-04-04 16:28:51+00:00
"@aguadiana Jajajajajaja no mamn jajajaja, jálame ésta ✍️✍️✍️",others,0.5864238142967224,aguadiana,2023-04-04 12:22:51+00:00
@aguadiana Ja ja ja ja ja ja ja ¿lo dice el rey de huachicol carbonero? ¿Lo dice quien recibió la candidatura a cambio de favores a políticos y al mismo presidente? No pues qué gran cambio!!!,others,0.5782263278961182,aguadiana,2023-04-04 09:05:59+00:00
